PlayerID,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,
player782,2014-15,34,CLE,NBA,SF,52,701,4.6,.471,.860,.035,0.7,14.0,7.4,9.0,1.0,0.5,16.6,8.9,-0.1,0.5,0.4,.028,-2.6,-0.3,-3.0,-0.2,
player782,2015-16,35,DEN,NBA,SF,47,373,6.5,.508,.839,.000,1.8,14.2,7.9,14.9,1.7,0.9,21.5,9.3,0.1,0.3,0.3,.040,-2.5,-0.3,-2.7,-0.1,
player782,2016-17,36,DEN,NBA,SF,13,79,8.9,.672,.857,.143,2.8,24.2,13.4,19.9,0.6,0.0,37.7,12.7,0.0,0.0,0.0,.022,-2.2,-1.6,-3.8,0.0,
player783,2012-13,20,DEN,NBA,PF,7,26,5.9,.349,.083,.167,4.4,4.2,4.3,16.8,1.9,0.0,7.2,23.1,0.0,0.0,0.0,-0.051,-5.1,-3.3,-8.4,0.0,
player783,2013-14,21,DEN,NBA,PF,52,789,8.6,.459,.367,.215,4.9,15.2,10.1,4.9,1.4,3.0,14.6,17.7,-0.7,0.7,0.0,.002,-4.1,0.3,-3.8,-0.4,
player783,2014-15,22,TOT,NBA,PF,10,119,7.4,.338,.474,.289,3.7,14.9,9.4,9.8,3.0,3.3,10.5,17.8,-0.2,0.2,-0.1,-0.030,-5.0,1.3,-3.7,-0.1,
player783,2014-15,22,SAC,NBA,PF,6,61,11.1,.372,.389,.611,3.9,18.0,11.2,7.1,5.0,3.9,11.6,18.7,-0.1,0.1,0.0,.010,-4.5,3.0,-1.5,0.0,
player783,2014-15,22,DET,NBA,PF,4,58,3.6,.300,.550,.000,3.6,11.7,7.5,12.7,0.9,2.7,9.1,16.8,-0.1,0.0,-0.1,-0.072,-5.4,-0.5,-6.0,-0.1,
player784,2009-10,21,POR,NBA,PG,10,38,11.9,.480,.167,.292,3.2,3.3,3.3,27.1,0.0,0.0,12.9,38.9,0.0,0.0,0.0,-0.036,-1.8,-6.7,-8.5,-0.1,
player784,2010-11,22,POR,NBA,PG,64,783,13.0,.506,.405,.143,2.8,5.2,4.0,24.3,1.9,0.1,15.1,24.5,0.2,0.5,0.7,.044,-0.1,-3.5,-3.6,-0.3,
player784,2011-12,23,SAS,NBA,PG,16,261,21.5,.604,.431,.115,1.8,10.3,6.2,25.9,2.0,0.3,16.0,28.4,0.6,0.3,0.9,.161,4.3,-1.9,2.5,0.3,
player784,2012-13,24,SAS,NBA,PG,58,656,14.1,.590,.539,.079,1.7,6.8,4.4,14.9,2.0,0.4,13.5,20.2,0.7,0.8,1.5,.109,1.2,-1.6,-0.4,0.3,
player784,2013-14,25,SAS,NBA,PG,81,1527,18.7,.588,.477,.123,2.6,9.6,6.2,15.3,2.3,0.4,8.2,22.6,3.4,2.1,5.6,.175,3.9,-0.6,3.3,2.0,
